mIoU,fwIoU,IoU-other,IoU-Grass,IoU-CameraEdge,IoU-Vehicle,IoU-Person,IoU-Bush,IoU-Puddle,IoU-Building,IoU-Dirtroad,IoU-Sky,IoU-Large_stone,IoU-Forrest,IoU-Gravel,mACC,pACC,ACC-other,ACC-Grass,ACC-CameraEdge,ACC-Vehicle,ACC-Person,ACC-Bush,ACC-Puddle,ACC-Building,ACC-Dirtroad,ACC-Sky,ACC-Large_stone,ACC-Forrest,ACC-Gravel
86.57105157851294,95.57544979663426,nan,92.10411648719875,92.48321176985398,95.48455800656455,93.06882079875407,92.47164183861278,94.24359170346432,93.91025570838252,98.11830485374811,99.25224976636278,91.96255820695939,95.75330980225412,0.0,89.27989862912648,97.71663939022159,nan,98.7646008953616,94.21622075491973,97.24755322753484,96.59686053826202,95.22850516197026,98.94820094956422,97.91383644495994,99.138257569857,99.77543261856671,95.80474755133113,97.7245678371902,0.0
86.71364011083153,95.64582658603221,nan,92.11746190814627,93.47412021731839,95.58742498852068,93.03910751109126,92.39892265718349,94.65904451823648,94.15916485182997,98.16653498620876,99.29567567591896,91.7088,95.95742401552435,0.0,89.77948296444936,97.752281426141,nan,98.72011676586492,96.81806507786725,97.87114178391883,97.28407479204122,96.40991441084981,98.8525788728857,97.5316280843233,99.21020641385505,99.71650852660267,97.16053035486436,97.77903049031927,0.0
86.74593696455149,95.62819769239862,nan,92.89200004791098,93.1389357797331,95.29988734036603,92.97879359745069,92.82213776429191,94.47568520103725,94.75386082152326,97.40039637603107,99.28401187538459,92.05270923726461,95.85282553362447,0.0,89.6777756205442,97.75190371627076,nan,98.90562707654747,95.07257259543593,98.0533629037357,97.84642726173139,96.07824277852941,98.96221471853016,97.34737351620277,98.95266689543789,99.74523754112906,97.10073906959829,98.06884308965219,0.0
86.7873889985596,95.63224339153788,nan,92.90263163440203,93.48426617290112,95.63002544690936,93.14352942431898,93.01178246239333,94.04130090561313,94.53978021395922,97.44214045230083,99.27192228917109,92.18175772894052,95.7995312518058,0.0,89.52505789697692,97.755902308723,nan,98.6755534640756,95.85558831535315,97.60097141365654,97.43963571839622,95.11828223633107,98.56209971803858,97.7983063192239,99.36238060388428,99.77855696383546,96.55614524967486,97.55317476125335,0.0
86.81167218307847,95.68667184044706,nan,93.00639437763849,93.50265386444151,95.60939277890222,93.24378465581897,93.38631683978197,94.14623750976732,94.51241679721323,97.48497792858589,99.28076358657997,91.589509083365,95.977618774847,0.0,89.88173656878931,97.78217025194517,nan,99.05730407088308,97.33157744298686,97.60324107173254,97.42819331082435,96.5906107207066,98.96006886015726,97.93918001009176,99.01742644146016,99.71955546458092,97.28566057042119,97.64802086162675,0.0
86.83439054896155,95.71570650697616,nan,92.9808289211922,93.68253037041735,95.70958432725739,93.23812472310148,92.56082766789426,94.3620065214957,94.73045210755232,97.57491448282933,99.31103435183721,91.87579765718775,95.98658545677372,0.0,89.9168499358762,97.79729417832851,nan,98.78105054399818,97.67894151194224,97.66719679394585,97.49774082221234,97.17718996269377,98.90134240958437,97.26860297592818,99.20272597724336,99.66101269443718,96.9577331089619,98.20866242956704,0.0
87.02499104976346,95.74692509667517,nan,93.0344671255834,93.95142006965551,95.66776683799613,93.25575698318482,93.66437189313949,94.83859769087132,94.77481479836068,97.59523372361922,99.30544742257766,92.18972108669357,96.02229496547979,0.0,89.66663338541089,97.81516921915404,nan,98.85698961137552,96.55295579950656,97.38924473885152,97.10428945160727,96.49009725874033,98.69985068767097,97.41564131777406,99.28696387975084,99.74728234042699,96.54289254211588,97.91339299711059,0.0
87.03868460171883,95.7668009892131,nan,93.08750029402785,93.81787945212872,95.69536029189169,93.29046414857036,93.81311322223954,94.8833770283284,94.78802549468121,97.61130630869623,99.3065587750274,92.08867618372571,96.08195402130876,0.0,89.6586465432175,97.82560531135529,nan,98.99173122436035,95.80138020406207,97.62553235640765,97.29445668378935,96.10586688644395,98.85255697637169,97.45194426242234,99.19949659444072,99.77382368985083,96.90225665871505,97.90471298174596,0.0
87.05373388210597,95.76046796488583,nan,93.06096998997856,93.93155719775498,95.5628020453279,93.32331650147839,93.89049988028412,94.91320568790033,94.84731423843932,97.60602190259347,99.30811794355724,92.14719996238601,96.05380123557148,0.0,89.69328709288068,97.82252150609771,nan,98.88457366608435,96.33869019107271,97.72718061452613,97.07113437796002,96.52711173997236,98.8714755644757,97.37408700377414,99.29014276987493,99.77094143718189,96.64490757006983,97.81920017957593,0.0
87.05258678774534,95.76544408579782,nan,93.0896674532034,93.71959407027161,95.7217562431062,93.30802568218299,93.842997725843,94.92594056345399,94.88415615359311,97.62402983370312,99.29957631600496,92.14177921203046,96.07351819955122,0.0,89.71855703467025,97.82489693652715,nan,98.96901626564795,96.06637346720329,97.77978804635939,97.34011468083217,96.62881039468742,98.98012606698975,97.46975325413659,99.21256452937462,99.76381373231204,96.53642028958707,97.87590368891286,0.0
