time,latitude,longitude
1633007294846737851,61.17828962808897,11.407246218989924
1633007294867518663,61.178289925423556,11.40724555811234
1633007294888963703,61.17829014345908,11.407245086982874
1633007294908965605,61.178290276924365,11.407244804642833
1633007294927579546,61.17829058954299,11.407244138950132
1633007294946752795,61.17829085256625,11.407243550029023
1633007294966729432,61.178291090367594,11.407242927703594
1633007294986820170,61.17829133169293,11.407242310102628
1633007295006706190,61.178291574848664,11.407241691438186
1633007295027030843,61.1782918721055,11.407240982145764
1633007295046747888,61.178292129120265,11.407240387556648
1633007295066722289,61.178292383786314,11.407239796759605
1633007295086735821,61.17829263551926,11.407239209602084
1633007295112945345,61.178292885987894,11.407238620702286
1633007295126778976,61.17829301012709,11.407238327421327
1633007295146728677,61.17829329648163,11.407237655104264
1633007295166707116,61.178293527470736,11.407237278138645
1633007295186718066,61.178293802683946,11.407236647880525
1633007295208775917,61.17829399478516,11.407236206550374
1633007295229343178,61.17829422083021,11.407235684048736
1633007295246736730,61.178294437705695,11.40723516079555
1633007295266714084,61.178294640970186,11.407234631662824
1633007295286731913,61.17829486212841,11.40723400321967
1633007295306746986,61.17829501793578,11.407233556530175
1633007295329266253,61.178295182807965,11.407233115964365
1633007295346801759,61.17829535690903,11.407232693302452
1633007295366729249,61.17829580387423,11.40723225536072
1633007295386745147,61.178296088815515,11.407231609496126
1633007295413271941,61.178296298573734,11.407231101962084
1633007295426864915,61.17829650575622,11.40723059099553
1633007295446785410,61.178296708668555,11.407230080184183
1633007295466737752,61.178296906393754,11.407229567102512
1633007295486709395,61.178297099139996,11.40722904126463
1633007295508783129,61.178297292175266,11.407228532719289
1633007295526743719,61.17829749166497,11.40722806358514
1633007295546824171,61.17829765984155,11.407227699606278
1633007295566729800,61.1782981036462,11.407227258300543
1633007295586786823,61.178298300546714,11.407226797095403
1633007295606740791,61.17829852259532,11.407226270808177
1633007295627013281,61.1782986791065,11.407225900862722
1633007295646755554,61.17829889579321,11.407225374814152
1633007295666740205,61.17829907576649,11.407224908184842
1633007295686751194,61.17829925135247,11.407224460168836
1633007295706740805,61.178299461285135,11.407223970592185
1633007295726713509,61.17829961873426,11.407223644693644
1633007295746737637,61.178299809758755,11.407223259126168
1633007295767343608,61.178300167198245,11.407222711438038
1633007295786820210,61.17830031611924,11.407222364559322
1633007295806753428,61.178300490691285,11.407221943976914
1633007295829305272,61.17830067068978,11.40722151706654
1633007295846714840,61.178300888759296,11.407221033517914
1633007295866717489,61.17830113290772,11.407220509727006
1633007295886741774,61.17830130142581,11.407220128325935
1633007295909168140,61.178301458601915,11.407219741409794
1633007295926751502,61.17830160798197,11.407219356059382
